0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
6,5,5,1.0,2
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
3,2,3,1.0,1
0,0,0,0.0,0
6,6,6,0.0,2
2,2,2,0.0,0
1,2,2,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
3,2,2,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
3,2,2,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,2,2,0.0,1
0,0,0,0.0,0
2,1,2,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,1.0,0
1,1,1,0.0,0
5,4,4,0.0,1
0,0,0,0.0,0
0,3,4,1.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
2,2,1,0.0,0
1,1,2,1.0,0
0,0,0,0.0,0
3,4,5,2.0,1
0,0,0,0.0,0
0,0,0,0.0,0
2,3,3,0.0,1
2,2,2,0.0,0
4,3,3,1.0,1
0,0,1,1.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,2,2,0.0,1
1,1,1,0.0,0
0,0,0,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,1,1,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
2,2,1,1.0,0
1,0,0,1.0,0
2,2,2,0.0,0
0,0,0,0.0,0
1,1,2,1.0,0
1,1,1,0.0,0
1,3,3,0.0,0
1,0,1,1.0,0
1,1,1,0.0,0
6,2,3,1.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
6,7,7,0.0,2
3,1,2,1.0,0
2,3,2,0.0,0
1,1,1,0.0,0
5,4,4,0.0,1
0,1,1,0.0,0
1,1,1,0.0,0
1,0,0,2.0,1
0,0,0,0.0,0
1,2,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,1.0,0
0,0,0,0.0,0
3,2,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,1,1.0,1
0,0,0,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,2,1.0,0
1,0,0,2.0,0
7,10,9,1.0,2
2,2,2,0.0,1
4,6,6,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
5,5,6,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,0,1,1.0,1
0,1,1,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
2,2,2,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
1,0,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,1.0,1
0,1,1,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,3,4,0.0,0
1,3,3,0.0,0
2,2,1,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,2,2,0.0,0
3,1,1,1.0,0
0,0,0,0.0,0
3,3,3,0.0,1
0,0,0,0.0,0
0,1,0,0.0,0
3,1,1,1.0,0
3,2,2,1.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
2,0,1,1.0,0
0,1,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,1.0,0
0,3,3,0.0,0
3,0,0,2.0,0
0,0,0,0.0,0
3,3,3,0.0,1
0,0,0,0.0,0
0,1,1,1.0,0
1,1,1,0.0,0
2,2,3,1.0,0
0,0,0,0.0,0
0,1,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
1,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,1,1,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,1,1,1.0,0
2,2,2,0.0,1
1,0,1,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,4,4,0.0,0
0,1,1,0.0,0
0,1,1,1.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,1,1.0,1
0,2,2,0.0,0
1,1,1,0.0,0
1,0,0,1.0,0
0,4,4,0.0,0
0,0,0,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,2,2,0.0,0
3,2,3,1.0,1
2,3,3,0.0,0
1,1,2,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
5,3,3,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,3,3,0.0,1
5,9,9,2.0,2
2,2,1,1.0,0
2,3,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
5,3,4,1.0,1
2,1,2,1.0,1
0,1,3,0.0,0
0,0,0,0.0,0
1,3,4,1.0,0
1,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,4,4,0.0,0
1,1,1,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,0,1,0.0,0
0,0,0,0.0,0
1,2,1,0.0,0
1,1,1,1.0,0
0,0,0,0.0,0
0,0,0,1.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,3,0.0,2
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,3,3,1.0,0
0,2,2,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
1,1,1,0.0,0
0,2,3,1.0,1
4,3,3,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,2,3,1.0,0
2,2,2,0.0,0
0,1,1,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
1,4,3,0.0,0
0,4,3,0.0,0
2,2,2,0.0,0
2,4,3,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,2,2,0.0,1
2,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,3,3,0.0,0
0,1,1,1.0,0
1,1,2,1.0,0
2,2,2,0.0,0
0,1,0,0.0,0
3,2,2,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,1,2,1.0,2
1,2,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,1,1.0,1
0,2,2,0.0,0
1,6,6,0.0,0
2,3,3,0.0,1
0,0,0,0.0,0
0,1,1,0.0,0
2,3,3,0.0,0
0,0,0,0.0,0
1,1,2,1.0,0
0,1,1,0.0,1
1,1,1,0.0,0
4,0,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,4,4,0.0,0
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
3,2,3,1.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,0,0,2.0,0
1,1,2,1.0,0
2,3,2,0.0,0
0,0,0,0.0,0
4,3,3,1.0,1
2,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,1,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
3,2,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,1,0.0,0
2,3,2,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,3,3,0.0,0
3,0,1,1.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,3,3,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
1,2,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
1,0,1,1.0,0
0,2,2,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,1,0.0,0
0,1,1,0.0,0
1,2,2,1.0,1
0,0,0,0.0,0
0,1,1,0.0,0
1,4,5,1.0,1
0,1,0,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,0,0,2.0,0
4,1,2,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,2,1.0,0
0,0,1,1.0,0
1,6,6,0.0,1
0,0,1,0.0,0
0,0,1,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,2,2,0.0,0
1,4,4,0.0,0
0,1,0,0.0,0
1,2,2,0.0,0
0,1,0,0.0,0
9,9,11,1.0,2
3,2,2,0.0,0
1,2,2,0.0,1
0,4,4,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,2,2,0.0,2
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
4,3,3,0.0,0
0,2,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
6,5,5,1.0,0
5,5,5,0.0,1
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,1
0,0,0,0.0,0
6,4,4,1.0,0
3,0,1,1.0,0
0,1,0,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
1,2,2,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,5,5,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,0,0,1.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,6,5,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,1.0,0
1,1,1,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,5,5,0.0,0
1,2,1,0.0,0
1,1,1,0.0,0
0,1,1,1.0,0
0,0,0,0.0,0
9,6,6,0.0,0
3,4,4,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,1.0,0
0,0,0,0.0,0
0,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,4,4,0.0,1
3,1,1,1.0,0
1,2,2,0.0,0
0,0,0,0.0,0
1,3,3,0.0,2
1,2,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
2,3,3,0.0,2
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
1,3,3,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
3,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,0,1,1.0,0
2,2,2,0.0,1
0,0,0,0.0,0
2,3,3,0.0,1
1,1,1,0.0,0
0,1,1,0.0,0
1,0,1,1.0,1
3,2,2,0.0,0
1,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,1,1.0,0
0,0,0,0.0,0
2,2,2,0.0,0
2,2,2,0.0,1
6,5,5,0.0,1
1,1,1,0.0,0
2,2,1,0.0,0
3,2,2,0.0,0
3,2,2,0.0,0
3,1,1,1.0,0
0,0,0,0.0,0
1,1,2,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
1,2,2,0.0,0
1,2,2,0.0,0
1,0,1,1.0,1
1,1,1,0.0,0
1,4,4,0.0,0
0,0,0,1.0,0
2,1,1,1.0,0
0,0,1,1.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,2,2,0.0,0
2,1,2,1.0,0
0,0,0,0.0,0
4,3,3,0.0,0
3,4,4,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,1,1,0.0,0
0,2,2,0.0,0
1,3,3,0.0,0
4,1,2,1.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,3,3,0.0,0
3,1,1,1.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,2,1,0.0,1
1,0,1,1.0,0
0,0,0,0.0,0
0,2,2,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
2,1,2,1.0,0
2,7,7,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,4,4,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
0,0,1,1.0,0
3,6,6,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
4,3,3,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
3,5,5,0.0,1
0,1,1,1.0,0
0,0,0,0.0,0
0,1,0,0.0,0
0,0,1,1.0,0
2,3,2,0.0,0
0,0,0,0.0,0
1,0,1,1.0,0
0,1,0,1.0,0
4,7,7,0.0,1
0,1,1,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
2,1,1,1.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
4,3,3,2.0,2
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,1.0,0
1,0,1,1.0,0
2,4,4,0.0,0
0,1,1,1.0,0
0,0,0,0.0,0
2,2,2,0.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,2,1.0,0
1,1,1,0.0,0
5,3,4,1.0,2
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,5,4,0.0,1
1,1,3,2.0,0
0,0,0,0.0,0
2,1,3,0.0,0
0,0,0,0.0,0
0,1,2,1.0,0
0,1,1,0.0,0
2,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
5,8,8,0.0,3
0,1,1,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
2,5,5,0.0,0
0,2,1,1.0,0
0,0,1,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,3,3,0.0,0
1,1,1,0.0,0
1,2,2,0.0,0
1,4,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,1.0,0
1,2,2,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,1,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
6,4,4,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
2,2,2,0.0,1
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
1,3,3,0.0,0
1,3,3,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
2,0,1,1.0,0
1,0,0,1.0,0
0,1,1,0.0,0
0,1,0,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
2,5,5,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,3,1.0,0
0,0,0,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
5,9,9,3.0,0
1,1,2,1.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,3,4,1.0,0
1,0,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,1,2,1.0,1
0,1,0,0.0,0
1,3,3,0.0,0
3,1,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,3,3,0.0,0
2,2,1,0.0,0
1,2,2,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,2,2,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,2,2,0.0,0
0,1,1,0.0,0
4,4,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
2,7,6,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
3,7,8,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,3,3,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
2,2,2,0.0,1
0,1,1,0.0,0
1,1,1,0.0,0
1,1,1,2.0,1
2,2,2,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
3,5,4,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
2,0,1,1.0,0
0,2,2,0.0,0
3,2,2,0.0,0
0,1,2,1.0,0
0,0,0,0.0,0
3,2,2,0.0,0
3,3,3,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,2
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,5,5,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,1.0,0
2,3,3,0.0,1
0,0,0,0.0,0
4,5,4,0.0,0
1,2,2,0.0,0
3,2,2,0.0,0
2,1,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,3,3,0.0,0
2,1,1,1.0,0
0,0,1,1.0,0
3,4,4,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
4,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,1,1,1.0,1
3,3,3,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
0,1,1,0.0,0
3,5,7,1.0,0
3,3,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,2,2,0.0,0
0,1,1,0.0,0
3,1,1,1.0,0
2,4,4,0.0,1
4,7,7,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
2,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,2,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,0,0,1.0,0
3,1,1,1.0,0
1,1,1,0.0,0
0,0,0,0.0,0
5,3,5,0.0,1
1,1,1,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
1,0,1,1.0,1
0,0,0,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,1.0,1
0,1,0,0.0,0
0,3,3,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
3,1,1,1.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
4,3,3,0.0,0
2,1,1,1.0,1
0,0,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
2,1,1,1.0,1
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,3,3,0.0,0
0,1,1,0.0,0
1,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,2,1,0.0,0
0,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,7,7,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
2,3,3,0.0,0
1,2,1,0.0,0
3,1,2,0.0,0
0,0,0,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
3,0,2,2.0,1
4,2,3,1.0,1
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,1
1,0,0,1.0,0
1,0,1,1.0,1
0,0,0,0.0,0
5,3,3,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,2,2,0.0,1
0,2,2,0.0,0
5,6,6,0.0,1
0,1,0,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,1
2,2,2,0.0,0
2,3,3,1.0,1
4,3,3,0.0,0
0,2,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
5,4,4,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
0,1,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,0,1,1.0,0
0,1,0,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
3,0,1,1.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
5,2,3,1.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,1,2,1.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
4,2,4,2.0,0
0,0,0,0.0,0
2,3,3,0.0,0
0,2,2,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
0,1,0,0.0,0
1,8,8,0.0,1
0,2,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
3,2,2,1.0,0
1,1,1,1.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,2,2,0.0,0
3,2,2,0.0,0
0,1,1,0.0,0
2,2,3,0.0,0
0,1,1,0.0,0
0,1,1,0.0,0
0,2,1,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,1,1,0.0,0
1,3,2,0.0,1
1,5,4,0.0,1
0,0,0,0.0,0
1,1,1,0.0,0
1,4,4,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
2,4,4,0.0,0
1,1,1,0.0,0
6,4,4,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,2,3,1.0,1
0,0,0,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
3,4,5,0.0,1
0,0,0,0.0,0
1,0,1,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
1,4,4,1.0,0
0,1,1,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
0,3,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
2,2,2,0.0,0
1,5,5,0.0,0
1,2,2,0.0,0
1,1,1,0.0,0
4,3,3,0.0,0
0,1,1,0.0,0
0,0,0,2.0,0
0,0,0,0.0,0
2,1,2,1.0,0
2,2,1,1.0,1
0,1,0,0.0,0
0,1,1,0.0,0
0,0,0,0.0,0
3,3,3,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
0,1,1,0.0,0
1,2,2,1.0,1
0,1,1,0.0,0
0,5,5,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
2,1,2,0.0,0
3,3,3,0.0,0
1,0,0,1.0,0
0,0,0,0.0,0
1,2,2,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
2,4,4,0.0,0
2,0,1,1.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,2,1.0,0
3,3,3,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
1,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,0
0,1,1,1.0,0
0,1,1,0.0,0
0,1,0,0.0,0
3,2,2,0.0,0
0,0,0,0.0,0
1,3,3,0.0,0
0,0,0,1.0,0
0,2,2,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
0,1,1,0.0,0
1,1,1,0.0,0
0,0,0,0.0,0
1,2,2,0.0,1
0,0,0,0.0,0
1,1,1,1.0,0
1,1,1,0.0,0
1,2,2,0.0,1
0,0,0,0.0,0
0,0,0,0.0,0
0,0,0,0.0,0
3,2,2,1.0,0
