2,0,0,0,13,0
5,0,0,0,35,1
3,1,0,0,31,0
0,1,0,0,17,1
0,2,0,0,7,0
4,0,0,0,31,1
5,0,0,0,27,1
1,2,0,0,13,1
1,1,0,0,9,1
0,1,0,0,8,0
1,4,1,0,63,0
1,1,0,0,16,1
3,0,0,0,6,1
2,2,0,0,36,1
0,1,0,0,25,0
0,1,0,0,14,0
3,0,0,0,24,1
0,3,0,0,31,0
3,0,0,0,16,1
1,0,0,0,8,1
0,0,0,0,4,0
0,1,0,0,11,0
5,0,0,0,24,1
0,2,0,0,7,0
0,2,1,0,20,0
1,0,0,0,14,1
0,0,0,0,9,1
3,0,0,0,19,1
2,0,0,0,19,0
1,0,0,0,3,0
0,0,0,0,4,0
2,0,0,0,33,1
0,1,0,0,32,1
3,0,0,0,16,1
0,2,0,0,39,0
3,3,0,0,16,1
1,2,0,0,13,0
5,0,0,0,24,1
1,1,1,0,19,0
2,1,0,0,14,0
2,0,1,0,11,0
5,2,0,0,58,1
4,0,0,0,15,1
0,1,0,0,9,0
4,0,0,0,34,1
2,0,0,0,16,0
0,0,0,0,3,0
0,1,0,0,9,0
0,1,0,0,4,0
1,2,0,0,19,0
2,1,0,0,19,0
1,0,0,0,9,0
2,0,0,0,18,1
1,0,0,0,11,0
1,2,0,0,18,1
1,0,0,0,10,1
2,0,0,0,15,1
2,2,0,0,30,1
1,1,0,0,28,0
3,6,0,0,38,0
2,0,0,0,7,1
5,1,0,0,31,0
0,0,0,0,4,0
2,0,0,0,15,1
3,0,0,0,9,1
1,2,0,0,9,0
3,0,0,0,17,1
5,2,1,0,44,1
0,2,0,0,15,0
1,0,0,0,12,1
0,0,1,0,16,0
0,3,0,0,34,0
1,0,0,0,30,0
0,1,0,0,8,0
2,2,0,0,17,0
2,0,0,0,16,1
4,1,0,0,31,1
1,0,0,0,23,1
1,3,0,0,30,0
2,1,0,0,12,0
7,5,0,0,41,1
0,3,0,0,17,0
4,0,0,0,36,1
2,0,0,0,7,1
1,1,0,0,10,0
3,0,0,0,18,0
2,2,0,0,12,1
2,2,0,0,31,0
1,0,1,0,9,0
3,0,0,0,9,1
1,4,0,0,38,0
3,1,0,0,13,0
0,0,0,0,17,0
2,0,0,0,19,1
0,1,0,0,11,0
0,1,0,0,8,0
0,1,0,0,10,0
2,0,0,0,11,0
1,2,0,0,12,1
1,0,1,0,11,0
2,2,0,0,18,1
0,1,0,0,12,0
3,2,0,0,47,1
3,3,0,0,43,0
0,1,0,0,6,0
0,0,0,0,4,1
3,1,0,0,24,1
2,0,0,0,10,1
0,1,0,0,11,0
0,0,0,0,8,0
4,0,0,0,22,1
0,1,0,0,11,0
0,2,0,0,12,0
2,1,0,0,13,1
1,1,1,0,29,1
0,0,0,0,20,0
8,0,0,0,54,1
0,0,1,0,11,0
2,5,0,0,86,0
2,0,0,0,11,1
1,0,0,0,28,1
6,0,0,0,44,1
1,0,0,0,3,1
0,2,0,0,6,0
1,1,0,0,13,0
2,2,0,0,22,0
4,1,0,0,34,0
3,0,0,0,22,1
2,0,0,0,14,1
0,0,0,0,21,0
0,2,0,0,13,0
3,0,0,0,15,1
1,1,0,0,9,0
0,0,0,0,10,1
0,2,0,0,28,1
1,0,1,0,11,0
0,3,0,0,17,0
1,1,0,0,16,1
3,0,0,0,22,1
5,1,0,0,64,1
1,0,1,0,8,0
4,2,1,0,44,0
1,2,1,0,32,1
0,0,0,0,15,0
3,4,1,0,35,0
2,0,0,0,23,1
0,0,0,0,10,1
2,1,1,0,17,1
0,2,0,0,4,0
2,0,0,0,13,1
4,0,0,0,22,1
1,0,0,0,12,1
3,2,0,0,34,0
1,2,1,0,11,0
3,7,0,0,55,0
0,0,0,0,22,1
0,0,0,0,10,1
0,4,0,0,23,0
2,0,0,0,13,1
1,0,0,0,6,1
7,0,1,0,51,1
0,2,0,0,16,0
2,0,0,0,22,0
1,0,0,0,7,0
1,2,0,0,21,0
0,1,0,0,24,0
2,0,0,0,17,1
4,0,0,0,54,1
1,0,0,0,15,0
2,0,0,0,22,1
1,0,0,0,15,1
2,0,0,0,14,1
6,0,0,0,38,1
3,1,0,0,34,0
5,3,1,0,41,0
0,1,0,0,8,0
2,3,0,0,30,0
0,0,0,0,24,0
2,0,0,0,11,1
1,0,0,0,10,1
2,0,0,0,41,1
1,0,1,0,18,0
5,0,0,0,28,1
0,1,0,0,8,0
4,1,0,0,34,1
3,1,0,0,23,1
2,0,0,0,26,0
3,1,1,0,26,0
2,0,0,0,17,0
1,0,1,0,15,0
1,0,0,0,11,1
0,2,0,0,12,0
2,1,0,0,40,0
3,1,0,0,20,1
2,2,0,0,22,1
3,2,1,0,25,1
1,1,0,0,8,0
1,0,0,0,12,1
0,4,1,0,42,0
1,1,0,0,42,0
1,0,0,0,4,0
1,0,0,0,4,0
1,0,0,0,15,0
3,0,1,0,35,0
0,0,0,0,3,1
0,0,0,0,11,0
0,0,0,0,9,1
1,0,0,0,22,1
6,0,0,0,46,1
4,0,0,0,33,1
2,1,0,0,16,1
6,1,0,0,22,1
2,2,0,0,18,0
0,1,0,0,18,0
5,3,0,0,44,0
1,5,0,0,33,0
7,1,0,0,41,1
4,0,0,0,21,1
0,1,0,0,13,0
4,0,0,0,13,1
0,0,0,0,15,0
4,0,1,0,21,1
1,2,0,0,13,0
1,0,0,0,19,0
4,8,0,0,59,0
0,2,0,0,25,0
7,1,1,0,53,1
2,0,0,0,10,1
3,0,0,0,10,1
0,1,0,0,3,0
5,1,0,0,49,1
3,0,0,0,18,1
4,8,0,0,93,0
0,1,0,0,11,1
0,1,0,0,6,0
0,0,0,0,14,1
0,0,0,0,8,1
3,0,0,0,23,1
2,0,0,0,9,1
1,1,0,0,10,1
0,0,0,0,7,0
2,5,1,0,66,0
1,0,0,0,4,0
0,2,0,0,22,0
0,0,0,0,3,1
8,2,0,0,36,1
0,3,0,0,19,0
2,2,1,0,15,0
2,0,0,0,21,1
2,1,0,0,24,1
0,2,0,0,18,0
6,2,0,0,40,1
0,0,0,0,8,1
1,1,0,0,15,0
2,0,0,0,18,1
2,0,0,0,17,1
0,1,0,0,13,0
3,2,0,0,31,0
1,0,0,0,11,1
2,2,1,0,22,1
3,0,0,0,16,1
2,1,0,0,26,0
2,0,0,0,20,1
1,0,0,0,14,0
5,0,0,0,14,1
1,1,0,0,8,0
4,2,1,0,57,0
1,4,0,0,33,0
0,0,1,0,12,1
8,0,1,0,69,1
4,3,1,0,52,0
0,0,0,0,13,1
7,1,1,0,78,1
4,1,0,0,21,1
0,0,0,0,35,0
1,0,0,0,5,1
1,0,0,0,12,1
1,0,0,0,15,0
1,0,0,0,11,0
0,1,1,0,17,0
2,0,0,0,19,1
2,2,0,0,29,1
2,0,0,0,5,1
2,1,0,0,22,1
0,1,0,0,48,0
2,0,0,0,14,0
0,1,0,0,23,0
3,0,0,0,25,1
0,1,0,0,21,0
2,0,0,0,18,1
0,3,0,0,12,0
1,0,0,0,7,0
3,1,0,0,15,1
1,0,0,0,14,0
2,0,0,0,12,1
0,0,0,0,3,0
0,1,0,0,4,0
4,0,0,0,22,1
5,0,0,0,24,1
0,0,0,0,4,0
3,1,0,0,18,1
0,0,0,0,29,0
3,0,0,0,18,0
2,0,0,0,13,0
0,0,0,0,21,0
2,4,1,0,27,0
4,0,0,0,28,1
1,0,0,0,7,0
0,2,0,0,13,0
0,2,0,0,10,0
1,0,1,0,15,1
0,3,0,0,9,0
1,3,0,0,19,0
0,0,0,0,13,1
0,2,0,0,13,1
1,0,0,0,5,1
0,2,0,0,11,0
1,1,0,0,10,0
0,0,0,0,3,0
2,0,0,0,23,1
1,0,0,0,28,1
0,0,0,0,5,1
1,0,0,0,18,1
0,2,0,0,14,0
1,0,0,0,17,1
1,1,1,0,9,0
2,3,0,0,30,0
1,0,0,0,12,0
0,2,0,0,12,0
0,2,0,0,14,1
1,0,0,0,20,1
2,1,1,0,20,1
4,0,0,0,31,0
0,1,0,0,14,0
1,0,0,0,12,1
0,1,0,0,8,0
1,1,0,0,20,0
0,0,0,0,8,0
0,0,0,0,9,1
0,1,0,0,24,0
4,1,0,0,30,1
0,2,0,0,16,0
0,0,0,0,14,0
4,2,1,0,87,0
2,1,0,0,12,1
1,0,0,0,7,1
5,4,0,0,60,0
4,2,0,0,40,1
0,3,1,0,61,0
1,1,0,0,12,0
0,2,0,0,11,1
1,2,0,0,23,0
2,1,0,0,21,0
0,1,0,0,15,0
3,0,0,0,19,0
2,1,0,0,22,0
3,0,0,0,21,1
2,0,0,0,22,1
2,0,0,0,14,1
2,1,0,0,13,0
2,2,0,0,23,0
1,0,0,0,45,1
4,0,0,0,23,1
2,1,0,0,27,1
2,0,0,0,17,1
2,0,0,0,8,1
4,1,0,0,22,1
0,3,0,0,27,0
4,4,0,0,84,0
1,1,0,0,7,0
1,0,0,0,7,0
10,4,0,0,65,0
0,2,0,0,34,0
1,0,1,0,10,0
1,2,0,0,21,1
2,1,1,0,34,1
1,2,0,0,11,1
3,0,0,0,13,1
3,1,0,0,10,0
0,0,0,0,15,1
2,2,0,0,32,1
6,0,0,0,25,1
1,1,1,0,34,0
2,0,0,0,35,0
0,0,1,0,7,0
0,3,0,0,26,0
2,0,0,0,23,1
4,4,1,0,54,0
5,1,1,0,56,1
6,1,0,0,45,1
1,0,0,0,8,1
0,1,0,0,7,0
2,0,0,0,11,1
0,3,0,0,6,0
1,0,0,0,10,0
1,3,0,0,29,0
2,1,0,0,14,0
1,1,0,0,19,0
2,0,0,0,10,0
5,0,0,0,15,1
2,0,0,0,20,0
3,0,0,0,16,1
2,0,0,0,5,1
3,0,0,0,14,1
3,1,0,0,29,1
1,1,0,0,19,0
2,0,0,0,14,1
0,0,0,0,7,1
1,0,0,0,3,1
0,1,0,0,26,0
3,1,0,0,27,1
1,1,1,0,9,0
0,0,0,0,12,0
0,0,0,0,9,1
7,1,0,0,47,0
1,2,0,0,24,1
2,0,0,0,7,1
1,0,0,0,11,1
1,0,0,0,4,1
4,3,0,0,34,0
1,0,0,0,15,1
0,2,0,0,6,0
6,1,0,0,31,1
0,2,0,0,24,1
0,1,0,0,12,0
1,0,0,0,4,1
3,1,0,0,27,1
1,1,0,0,7,0
0,2,0,0,19,0
0,0,0,0,20,1
0,1,0,0,15,0
0,0,0,0,10,1
2,1,1,0,16,1
2,0,0,0,24,1
3,0,0,0,24,1
4,2,0,0,37,1
1,0,0,0,9,0
4,1,0,0,47,1
3,0,0,0,15,1
0,0,0,0,17,1
2,0,0,0,6,1
0,2,0,0,17,0
0,0,0,0,3,0
3,2,1,0,61,0
1,1,0,0,5,0
1,1,0,0,15,1
2,0,0,0,17,1
1,2,0,0,20,0
3,4,1,0,57,0
3,0,0,0,34,1
4,1,0,0,26,1
0,7,0,0,19,1
2,0,0,0,6,1
0,2,0,0,14,1
0,0,0,0,4,1
1,0,0,0,6,1
3,0,0,0,12,0
5,0,0,0,20,1
1,0,0,0,20,1
0,0,1,0,20,0
1,0,0,0,6,1
5,0,0,0,46,1
0,2,0,0,13,1
4,0,0,0,38,1
1,0,0,0,5,1
4,1,0,0,24,1
3,1,0,0,46,0
3,2,0,0,63,0
0,2,0,0,12,0
1,0,0,0,10,1
3,2,0,0,47,1
0,0,0,0,22,0
5,1,1,0,32,0
3,1,0,0,13,1
1,0,0,0,9,1
0,0,0,0,4,1
2,0,0,0,23,1
0,0,0,0,9,1
2,0,0,0,21,1
6,6,0,0,70,0
5,1,1,0,45,1
7,0,0,0,45,1
1,0,0,0,28,1
1,2,0,0,27,1
2,5,0,0,19,0
1,0,0,0,9,0
1,2,0,0,29,1
0,0,0,0,3,0
1,0,0,0,10,1
5,0,0,0,25,1
1,0,0,0,28,1
1,1,1,0,20,0
13,1,1,0,92,1
1,0,0,0,5,1
0,0,0,0,3,1
2,0,1,0,14,1
3,1,0,0,25,1
1,0,0,0,3,1
2,1,0,0,12,0
0,0,0,0,23,0
0,1,0,0,4,0
1,0,0,0,3,0
1,1,0,0,11,0
1,1,0,0,5,0
0,0,0,0,6,1
0,0,0,0,4,0
0,1,0,0,8,1
0,1,0,0,11,0
8,4,0,0,114,1
0,0,0,0,13,1
1,0,0,0,6,1
0,2,0,0,8,0
0,0,0,0,16,1
1,1,0,0,27,0
1,0,0,0,5,1
1,1,0,0,12,1
7,0,0,0,26,1
1,0,0,0,13,1
0,3,0,0,18,0
0,2,1,0,50,0
1,1,0,0,15,0
1,0,0,0,14,0
0,4,0,0,26,0
1,0,0,0,13,0
0,0,0,0,12,1
0,0,0,0,15,1
1,0,0,0,6,0
2,0,0,0,20,1
4,0,0,0,25,1
2,0,1,0,11,0
3,0,0,0,15,1
2,5,0,0,40,0
1,1,0,0,20,0
4,0,0,0,18,0
0,1,0,0,31,0
2,1,0,0,25,1
1,2,1,0,21,0
0,0,0,0,5,1
1,0,0,0,9,0
4,0,0,0,65,1
1,0,1,0,15,0
1,1,1,0,11,0
3,0,0,0,26,1
1,0,0,0,9,0
3,7,1,0,86,0
1,1,0,0,11,0
2,0,0,0,10,1
3,0,0,0,15,1
1,1,0,0,17,0
1,0,0,0,14,1
1,1,0,0,11,0
4,0,0,0,38,1
1,0,0,0,8,1
2,1,1,0,17,1
3,0,0,0,13,1
0,0,0,0,7,0
0,0,0,0,5,0
2,0,0,0,15,0
0,1,0,0,12,0
0,0,0,0,8,0
6,0,0,0,22,0
1,0,0,0,4,1
2,3,0,0,28,0
0,1,0,0,10,0
0,1,0,0,9,1
3,0,0,0,15,1
6,3,0,0,37,0
1,1,0,0,26,0
5,0,0,0,29,1
2,0,0,0,18,1
1,0,0,0,25,1
2,1,0,0,43,0
0,0,0,0,3,0
2,0,0,0,16,0
3,0,0,0,28,1
1,1,0,0,31,0
0,0,0,0,12,1
0,1,0,0,10,1
3,0,1,0,15,1
2,0,0,0,6,1
3,1,0,0,25,1
1,1,0,0,21,0
1,0,0,0,28,1
4,4,0,0,44,0
3,0,0,0,15,1
0,0,0,0,4,0
3,4,1,0,101,0
0,1,0,0,10,0
1,0,1,0,21,0
4,1,0,0,23,0
2,0,0,0,14,1
1,0,0,0,3,1
0,1,0,0,19,0
0,1,0,0,12,0
1,0,0,0,19,0
1,0,0,0,8,1
1,0,0,0,11,1
0,0,0,0,4,1
3,1,0,0,22,0
0,0,0,0,7,0
3,3,0,0,40,0
3,1,0,0,21,1
0,0,0,0,7,1
0,0,0,0,4,1
1,0,0,0,3,1
1,1,0,0,22,0
0,1,1,0,15,0
4,0,0,0,16,1
3,1,0,0,22,1
4,0,0,0,18,1
0,0,0,0,11,0
3,1,0,0,25,0
1,4,0,0,24,0
1,2,0,0,11,0
1,3,0,0,19,0
0,2,0,0,26,0
1,0,0,0,31,1
1,0,0,0,11,0
1,1,0,0,18,0
1,3,0,0,52,0
1,0,0,0,4,1
0,0,0,0,16,1
2,0,0,0,15,1
0,3,0,0,21,1
1,1,0,0,21,0
0,0,0,0,3,1
1,1,1,0,7,1
0,0,0,0,4,0
0,0,0,0,13,1
5,1,1,0,27,1
0,3,1,0,37,0
5,0,1,0,43,1
0,1,0,0,12,0
4,4,1,0,49,0
1,1,0,0,21,1
3,0,0,0,26,1
1,0,0,0,10,1
2,3,0,0,29,0
2,0,0,0,26,1
3,0,0,0,22,1
5,1,0,0,31,0
2,1,0,0,21,1
3,0,1,0,14,0
1,1,0,0,19,0
2,0,0,0,15,0
1,0,0,0,16,1
0,1,0,0,18,1
3,0,0,0,10,0
5,1,0,0,19,1
0,2,0,0,10,0
1,1,0,0,16,0
1,3,0,0,14,0
1,1,0,0,16,0
1,3,0,0,26,0
1,0,1,0,15,0
1,1,0,0,29,0
2,0,0,0,24,1
0,0,1,0,8,0
0,0,0,0,16,0
1,0,0,0,19,0
4,0,0,0,21,1
0,0,0,0,19,1
1,0,0,0,9,1
0,0,0,0,3,1
3,1,0,0,31,1
0,0,0,0,9,0
4,0,0,0,30,1
0,0,0,0,13,0
1,0,0,0,5,0
2,1,0,0,9,1
2,1,0,0,19,1
2,0,0,0,6,1
5,2,0,0,51,0
2,0,0,0,10,1
2,1,1,0,17,0
0,1,0,0,11,0
3,1,0,0,16,1
0,1,0,0,14,0
1,0,0,0,8,1
1,2,0,0,45,0
1,0,0,0,7,1
2,3,0,0,38,0
4,1,0,0,41,0
0,1,0,0,3,0
1,0,0,0,9,1
1,0,1,0,10,0
2,2,0,0,63,1
1,0,0,0,8,1
1,1,0,0,13,1
1,0,0,0,18,1
5,0,0,0,19,1
5,2,1,0,70,0
1,0,0,0,3,1
0,0,0,0,27,0
3,0,0,0,11,0
6,1,0,0,39,0
1,0,0,0,3,1
4,0,0,0,18,1
3,0,0,0,19,1
2,2,0,0,15,0
0,0,0,0,4,1
1,1,0,0,24,0
2,0,0,0,27,1
2,0,1,0,20,0
2,4,0,0,13,1
1,0,0,0,28,1
1,0,0,0,9,1
2,0,0,0,24,1
2,0,0,0,8,1
2,2,0,0,35,1
0,0,0,0,12,1
0,1,1,0,23,0
0,2,0,0,24,0
2,2,0,0,25,0
1,0,0,0,13,1
1,2,0,0,39,0
1,0,0,0,14,1
1,0,0,0,3,1
6,0,0,0,42,1
2,0,0,0,19,0
4,0,0,0,21,1
1,0,0,0,17,0
1,1,0,0,10,0
1,0,0,0,12,1
2,1,0,0,7,1
2,0,0,0,16,1
1,1,0,0,32,1
0,0,0,0,4,0
1,0,0,0,36,1
2,0,0,0,15,0
1,5,0,0,28,0
1,3,1,0,30,0
2,2,0,0,11,0
0,0,0,0,6,0
1,4,1,0,33,0
1,1,1,0,11,0
0,1,0,0,15,0
0,0,0,0,7,1
2,0,1,0,41,0
4,0,0,0,18,1
1,0,0,0,13,0
0,0,0,0,12,0
0,0,0,0,16,0
0,3,0,0,24,0
0,1,0,0,5,0
1,0,1,0,13,0
1,0,0,0,7,1
0,0,0,0,3,0
7,2,0,0,38,1
1,0,0,0,5,0
0,0,0,0,13,1
1,0,0,0,14,1
1,1,0,0,11,0
3,0,0,0,13,1
2,1,0,0,12,0
4,1,0,0,18,1
1,0,0,0,19,1
7,1,0,0,64,1
3,0,0,0,13,1
2,0,0,0,17,1
0,1,0,0,6,0
1,0,0,0,4,1
1,0,1,0,11,0
1,0,0,0,20,1
5,0,0,0,16,1
3,1,0,0,26,1
4,0,0,0,14,1
1,2,1,0,57,0
0,3,1,0,23,0
2,0,0,0,33,1
0,5,0,0,36,0
2,3,0,0,25,0
1,0,1,0,6,0
4,0,0,0,19,1
0,0,0,0,7,1
2,1,0,0,20,0
2,2,0,0,20,0
4,3,1,0,64,0
0,0,0,0,16,0
5,2,0,0,28,1
2,6,1,0,96,0
0,0,0,0,4,1
1,1,0,0,29,0
3,0,0,0,13,1
3,1,0,0,15,1
2,1,1,0,20,0
2,0,0,0,12,1
0,0,0,0,4,0
1,0,0,0,3,1
2,0,0,0,7,1
2,0,0,0,16,1
1,0,0,0,18,0
0,1,0,0,3,1
1,0,0,0,13,1
2,0,0,0,21,1
1,0,0,0,13,1
1,0,0,0,11,1
1,1,0,0,20,0
0,0,0,0,4,0
1,7,0,0,42,0
2,0,0,0,6,0
5,0,0,0,50,1
0,0,0,0,3,1
1,1,1,0,28,1
1,1,0,0,26,0
0,1,0,0,7,0
2,0,0,0,10,1
1,0,1,0,13,0
1,0,0,0,22,1
1,0,0,0,11,1
0,5,0,0,15,0
5,6,1,0,57,1
2,0,0,0,8,1
1,0,0,0,10,1
2,2,0,0,13,1
1,0,0,0,12,0
6,2,0,0,46,1
1,0,0,0,11,1
3,1,0,0,18,1
3,0,1,0,14,1
0,0,0,0,4,1
1,0,0,0,10,0
1,2,0,0,13,0
0,0,1,0,13,0
0,0,0,0,15,0
0,0,0,0,6,0
1,3,0,0,36,1
4,1,0,0,56,1
2,3,0,0,16,0
0,1,0,0,11,0
3,0,0,0,29,1
20,3,0,0,77,1
1,0,0,0,12,0
2,1,1,0,22,1
6,2,1,0,56,1
1,2,0,0,13,0
0,0,0,0,6,1
0,2,0,0,16,0
6,0,0,0,48,1
1,1,1,0,14,0
3,4,1,0,31,1
1,0,0,0,10,1
2,1,1,0,12,0
0,1,0,0,12,0
0,1,0,0,5,0
1,1,0,0,16,0
1,0,0,0,10,0
0,3,0,0,14,0
0,0,0,0,13,1
1,0,0,0,22,0
2,2,1,0,21,1
2,1,0,0,27,1
0,0,0,0,10,0
5,0,0,0,17,1
0,0,1,0,4,0
1,0,0,0,15,0
2,0,0,0,12,1
5,0,0,0,21,1
3,1,0,0,20,0
3,2,0,0,41,0
2,0,0,0,24,1
1,1,1,0,19,0
0,4,0,0,12,0
0,1,0,0,11,0
2,1,0,0,28,0
1,0,1,0,12,1
0,4,0,0,26,0
5,0,0,0,22,1
3,1,0,0,18,1
4,0,0,0,12,1
0,0,0,0,4,0
3,0,0,0,20,1
0,1,0,0,13,0
3,0,0,0,18,1
5,0,0,0,14,1
1,1,0,0,18,0
1,0,0,0,15,0
0,0,0,0,8,1
1,2,0,0,19,0
0,0,0,0,5,0
0,0,0,0,11,0
3,3,1,0,32,0
2,0,0,0,9,1
1,2,0,0,12,0
2,6,1,0,45,0
1,0,0,0,8,1
1,0,0,0,21,1
3,2,0,0,56,1
4,0,0,0,19,0
2,0,0,0,18,1
5,0,0,0,22,1
3,0,0,0,25,0
0,2,0,0,10,0
1,0,0,0,6,1
5,0,1,0,19,1
4,4,1,0,64,0
1,2,1,0,15,0
5,0,1,0,48,0
1,1,0,0,18,1
1,0,0,0,13,1
5,0,0,0,55,1
3,1,0,0,19,0
4,0,0,0,33,1
1,0,0,0,14,0
0,1,0,0,8,0
0,0,0,0,3,1
2,0,0,0,14,1
3,1,0,0,18,1
1,0,0,0,11,1
1,0,0,0,10,1
0,0,0,0,14,1
1,1,0,0,14,1
1,3,0,0,50,0
3,0,0,0,30,1
6,0,0,0,22,1
1,0,0,0,15,1
1,1,0,0,8,0
4,4,1,0,58,0
3,0,0,0,7,1
1,3,0,0,18,1
1,2,0,0,16,0
1,0,0,0,13,0
1,0,0,0,16,1
2,1,0,0,19,0
2,0,0,0,12,1
3,1,0,0,17,0
5,2,1,0,35,0
0,1,0,0,3,1
0,0,0,0,16,1
0,2,0,0,10,0
2,3,0,0,41,1
2,0,0,0,12,1
1,4,0,0,38,0
3,0,0,0,25,1
1,0,0,0,18,0
6,2,0,0,52,1
0,0,0,0,13,0
4,1,0,0,21,0
3,0,0,0,9,1
4,0,0,0,14,1
2,1,0,0,14,1
3,0,0,0,20,1
0,0,0,0,10,1
1,0,0,0,16,1
1,0,0,0,7,1
3,2,0,0,20,0
2,2,0,0,19,0
0,2,0,0,24,0
3,1,0,0,25,0
1,0,0,0,10,1
0,1,1,0,10,0
1,1,1,0,9,0
4,0,0,0,19,1
0,1,0,0,3,0
0,0,1,0,8,1
1,2,0,0,48,0
0,0,0,0,5,1
0,0,0,0,3,0
0,1,0,0,11,0
2,0,0,0,9,1
1,0,0,0,7,1
0,0,0,0,3,0
1,0,0,0,36,0
2,0,0,0,15,1
0,3,0,0,31,0
2,2,0,0,20,0
1,0,0,0,3,1
1,0,0,0,10,0
1,0,0,0,13,1
1,0,0,0,3,1
1,0,0,0,7,0
0,3,0,0,20,0
0,3,0,0,33,0
1,0,0,0,10,0
4,0,0,0,36,1
0,1,0,0,14,0
0,0,0,0,8,0
1,1,0,0,11,0
0,0,0,0,3,1
2,1,0,0,36,1
1,0,0,0,22,1
0,3,0,0,16,0
2,0,0,0,8,1
0,0,0,0,4,1
4,0,0,0,65,1
1,2,0,0,27,0
2,0,0,0,20,1
4,3,0,0,28,0
2,3,0,0,46,0
2,0,0,0,13,0
2,0,0,0,12,1
5,0,0,0,17,1
2,2,0,0,15,1
1,2,0,0,28,0
0,0,0,0,4,0
7,0,0,0,16,1
1,0,0,0,8,1
6,1,0,0,33,1
1,0,0,0,13,0
2,0,0,0,16,1
1,1,0,0,12,1
2,1,0,0,22,1
0,1,0,0,3,0
1,1,0,0,27,0
0,2,0,0,11,0
1,2,0,0,24,0
0,0,0,0,13,0
2,2,0,0,26,0
2,1,0,0,23,1
1,1,0,0,10,0
3,0,0,0,24,1
2,2,0,0,33,1
3,1,0,0,18,1
3,1,1,0,25,0
2,1,0,0,19,0
3,4,0,0,26,0
1,2,1,0,16,1
2,1,1,0,14,0
1,0,0,0,11,0
0,0,0,0,9,0
3,3,0,0,37,0
0,1,0,0,11,0
0,0,1,0,10,1
0,0,0,0,14,1
1,0,0,0,3,1
2,0,0,0,31,1
2,0,0,0,10,1
2,0,0,0,8,1
2,0,0,0,7,1
1,1,0,0,22,0
2,0,0,0,20,1
0,5,0,0,37,0
2,2,1,0,28,0
1,2,0,0,24,0
7,1,0,0,31,1
1,0,0,0,5,1
0,1,0,0,6,0
1,6,0,0,47,1
4,0,0,0,21,1
6,1,0,0,46,1
0,0,0,0,10,0
0,2,0,0,17,0
1,0,0,0,4,0
2,0,0,0,9,1
1,0,0,0,32,0
1,1,0,0,21,1
0,2,0,0,18,0
0,0,0,0,6,0
0,0,0,0,9,0
1,0,0,0,10,1
1,0,0,0,23,1
2,0,0,0,15,1
0,3,0,0,10,1
2,0,0,0,17,1
4,8,0,0,51,0
0,0,0,0,10,1
6,1,0,0,30,1
1,2,0,0,36,0
4,0,0,0,17,0
6,3,1,0,54,1
2,1,0,0,24,1
0,0,0,0,9,1
1,0,0,0,9,1
1,0,0,0,6,1
5,0,0,0,40,1
0,0,0,0,27,0
1,3,0,0,19,0
2,2,0,0,28,0
0,3,0,0,20,0
1,1,0,0,4,1
4,0,0,0,14,1
0,0,0,0,4,0
0,0,0,0,5,1
0,0,0,0,4,0
2,0,0,0,15,0
3,6,0,0,44,0
0,1,0,0,18,1
6,1,1,0,27,0
0,0,0,0,7,1
0,5,1,0,12,0
0,1,0,0,11,0
1,1,0,0,13,1
2,0,0,0,11,0
0,0,0,0,15,0
0,3,0,0,28,0
0,1,0,0,7,0
1,0,0,0,13,1
1,2,0,0,33,0
3,0,0,0,26,0
1,2,0,0,16,0
0,0,0,0,3,0
4,0,1,0,46,0
1,1,0,0,7,1
2,0,0,0,8,1
5,2,0,0,19,1
2,1,0,0,23,0
1,1,0,0,20,0
1,1,1,0,10,0
4,8,0,0,60,0
0,0,0,0,14,0
2,0,0,0,11,1
0,3,0,0,32,1
2,0,1,0,67,0
4,0,0,0,11,1
0,0,0,0,24,0
0,2,0,0,17,0
2,1,0,0,20,1
3,6,1,0,76,0
0,1,0,0,8,0
0,2,0,0,10,1
1,0,0,0,26,1
0,0,0,0,9,1
1,1,0,0,10,0
1,1,0,0,11,1
2,0,0,0,9,1
2,0,0,0,7,1
4,1,0,0,19,1
1,0,0,0,4,1
2,1,0,0,21,0
1,0,0,0,5,0
1,1,0,0,19,1
1,2,1,0,23,0
1,0,1,0,13,0
6,0,0,0,39,1
5,1,1,0,24,1
0,0,0,0,10,0
11,0,0,0,68,1
3,0,0,0,22,1
4,0,0,0,16,1
3,0,1,0,18,1
0,1,0,0,10,0
1,1,0,0,37,0
0,0,0,0,6,1
3,1,0,0,38,0
3,5,0,0,39,0
1,1,0,0,12,0
4,1,0,0,16,1
0,2,0,0,4,0
1,2,1,0,18,0
0,0,0,0,4,1
4,0,0,0,19,1
2,1,0,0,12,0
3,0,0,0,34,0
0,1,0,0,6,0
5,0,0,0,23,1
0,2,0,0,15,0
0,1,0,0,23,0
1,0,0,0,8,1
3,1,0,0,12,1
3,0,0,0,33,1
2,0,0,0,21,0
2,0,0,0,8,0
2,0,0,0,15,1
2,0,1,0,18,1
0,0,0,0,24,0
3,0,0,0,24,1
1,1,0,0,19,0
1,0,0,0,3,0
0,0,0,0,50,1
2,1,0,0,15,0
0,2,0,0,13,0
5,1,0,0,33,1
2,0,0,0,10,0
1,1,0,0,6,1
5,2,1,0,41,1
3,1,0,0,19,0
